setting,trial,temperature,top_p,max_output_tokens,ok,status,took_ms,input_tokens,output_tokens
t0.2,0,0.2,1.0,64,ok,200,2205.87,25,35
t0.2,1,0.2,1.0,64,ok,200,1252.27,25,34
t0.2,2,0.2,1.0,64,ok,200,1272.86,25,34
t0.2,3,0.2,1.0,64,ok,200,1034.32,25,34
t0.2,4,0.2,1.0,64,ok,200,1240.71,25,35
t0.2,5,0.2,1.0,64,ok,200,1239.69,25,37
t0.2,6,0.2,1.0,64,ok,200,1343.25,25,34
t0.2,7,0.2,1.0,64,ok,200,1103.22,25,34
t0.2,8,0.2,1.0,64,ok,200,1188.79,25,34
t0.2,9,0.2,1.0,64,ok,200,1142.19,25,34
t0.2,10,0.2,1.0,64,ok,200,1227.88,25,34
t0.2,11,0.2,1.0,64,ok,200,1349.74,25,36
t0.2,12,0.2,1.0,64,ok,200,1063.25,25,27
t0.2,13,0.2,1.0,64,ok,200,2716.77,25,35
t0.2,14,0.2,1.0,64,ok,200,1352.27,25,34
t0.2,15,0.2,1.0,64,ok,200,1342.81,25,34
t0.2,16,0.2,1.0,64,ok,200,1092.74,25,35
t0.2,17,0.2,1.0,64,ok,200,1571.66,25,35
t0.2,18,0.2,1.0,64,ok,200,1030.1,25,33
t0.2,19,0.2,1.0,64,ok,200,1216.54,25,35
t0.2,20,0.2,1.0,64,ok,200,1162.95,25,27
t0.2,21,0.2,1.0,64,ok,200,1146.79,25,36
t0.2,22,0.2,1.0,64,ok,200,1228.43,25,34
t0.2,23,0.2,1.0,64,ok,200,1388.61,25,34
t0.2,24,0.2,1.0,64,ok,200,1534.77,25,34
t0.8,0,0.8,1.0,128,ok,200,1080.43,25,25
t0.8,1,0.8,1.0,128,ok,200,1143.86,25,25
t0.8,2,0.8,1.0,128,ok,200,1250.2,25,33
t0.8,3,0.8,1.0,128,ok,200,1178.42,25,31
t0.8,4,0.8,1.0,128,ok,200,1146.35,25,30
t0.8,5,0.8,1.0,128,ok,200,1556.05,25,37
t0.8,6,0.8,1.0,128,ok,200,1284.05,25,39
t0.8,7,0.8,1.0,128,ok,200,1535.2,25,34
t0.8,8,0.8,1.0,128,ok,200,1311.08,25,35
t0.8,9,0.8,1.0,128,ok,200,1025.17,25,28
t0.8,10,0.8,1.0,128,ok,200,1095.76,25,39
t0.8,11,0.8,1.0,128,ok,200,1284.72,25,33
t0.8,12,0.8,1.0,128,ok,200,1355.92,25,37
t0.8,13,0.8,1.0,128,ok,200,1037.62,25,35
t0.8,14,0.8,1.0,128,ok,200,1222.96,25,30
t0.8,15,0.8,1.0,128,ok,200,1341.76,25,35
t0.8,16,0.8,1.0,128,ok,200,1347.83,25,37
t0.8,17,0.8,1.0,128,ok,200,2671.32,25,30
t0.8,18,0.8,1.0,128,ok,200,1135.91,25,28
t0.8,19,0.8,1.0,128,ok,200,1338.31,25,34
t0.8,20,0.8,1.0,128,ok,200,1376.26,25,34
t0.8,21,0.8,1.0,128,ok,200,1167.51,25,33
t0.8,22,0.8,1.0,128,ok,200,1358.45,25,27
t0.8,23,0.8,1.0,128,ok,200,1248.4,25,28
t0.8,24,0.8,1.0,128,ok,200,1165.12,25,31
t1.2,0,1.2,1.0,128,ok,200,1168.59,25,25
t1.2,1,1.2,1.0,128,ok,200,1236.17,25,36
t1.2,2,1.2,1.0,128,ok,200,1135.4,25,33
t1.2,3,1.2,1.0,128,ok,200,1168.7,25,25
t1.2,4,1.2,1.0,128,ok,200,1542.92,25,34
t1.2,5,1.2,1.0,128,ok,200,1554.24,25,39
t1.2,6,1.2,1.0,128,ok,200,1289.72,25,27
t1.2,7,1.2,1.0,128,ok,200,1210.01,25,40
t1.2,8,1.2,1.0,128,ok,200,1277.73,25,35
t1.2,9,1.2,1.0,128,ok,200,1450.11,25,42
t1.2,10,1.2,1.0,128,ok,200,1356.9,25,34
t1.2,11,1.2,1.0,128,ok,200,1241.83,25,31
t1.2,12,1.2,1.0,128,ok,200,1241.99,25,40
t1.2,13,1.2,1.0,128,ok,200,1247.33,25,34
t1.2,14,1.2,1.0,128,ok,200,3006.03,25,31
t1.2,15,1.2,1.0,128,ok,200,1224.34,25,31
t1.2,16,1.2,1.0,128,ok,200,1799.69,25,33
t1.2,17,1.2,1.0,128,ok,200,1318.18,25,35
t1.2,18,1.2,1.0,128,ok,200,1262.2,25,33
t1.2,19,1.2,1.0,128,ok,200,950.67,25,30
t1.2,20,1.2,1.0,128,ok,200,1343.04,25,34
t1.2,21,1.2,1.0,128,ok,200,1351.24,25,32
t1.2,22,1.2,1.0,128,ok,200,1156.96,25,27
t1.2,23,1.2,1.0,128,ok,200,1134.67,25,31
t1.2,24,1.2,1.0,128,ok,200,1031.91,25,33
